epoch,num_episodes,mean_loss,epsilon
0,374,0.385477870703,0.775336600007
1,366,0.364198982716,0.550666000015
2,348,0.394327491522,0.325979200011
3,341,0.416424483061,0.10128610001
4,346,0.431128263474,0.1
5,357,0.445372492075,0.1
6,349,0.452008277178,0.1
7,331,0.464566648006,0.1
8,320,0.477254956961,0.1
9,325,0.493144005537,0.1
10,308,0.503898024559,0.1
11,302,0.514931559563,0.1
12,302,0.517742395401,0.1
13,297,0.536281406879,0.1
14,287,0.545202553272,0.1
15,305,0.549502968788,0.1
16,294,0.564369976521,0.1
17,297,0.570409953594,0.1
18,271,0.580186605453,0.1
19,241,0.59594553709,0.1
20,218,0.600557565689,0.1
21,212,0.598022699356,0.1
22,199,0.59320807457,0.1
23,206,0.586383283138,0.1
24,208,0.584685385227,0.1
25,212,0.582918703556,0.1
26,217,0.579411864281,0.1
27,206,0.578860998154,0.1
28,208,0.57350730896,0.1
29,213,0.569413125515,0.1
30,211,0.574573636055,0.1
31,197,0.587448060513,0.1
32,200,0.574395656586,0.1
33,203,0.580276250839,0.1
34,203,0.579248249531,0.1
35,208,0.581546127796,0.1
36,205,0.582723915577,0.1
37,213,0.577491641045,0.1
38,200,0.576595664024,0.1
39,208,0.579830884933,0.1
40,200,0.577350080013,0.1
41,194,0.571283936501,0.1
42,195,0.574069678783,0.1
43,188,0.569100439548,0.1
44,195,0.571423470974,0.1
45,197,0.563679277897,0.1
46,208,0.577323257923,0.1
47,210,0.572172403336,0.1
48,202,0.574497759342,0.1
49,199,0.580389738083,0.1
50,191,0.580575227737,0.1
51,196,0.582833111286,0.1
52,196,0.585988342762,0.1
53,194,0.58264118433,0.1
54,185,0.583321213722,0.1
55,191,0.580990612507,0.1
56,187,0.578731715679,0.1
57,194,0.577464282513,0.1
58,188,0.57747644186,0.1
59,193,0.590528488159,0.1
60,180,0.582957148552,0.1
61,178,0.590145111084,0.1
62,184,0.596521556377,0.1
63,198,0.60216987133,0.1
64,187,0.593634009361,0.1
65,188,0.604975402355,0.1
66,185,0.599153518677,0.1
67,188,0.595560312271,0.1
68,180,0.599989175797,0.1
69,185,0.598287522793,0.1
70,181,0.599170446396,0.1
71,171,0.601883292198,0.1
72,180,0.598021924496,0.1
73,190,0.594313979149,0.1
74,182,0.591660022736,0.1
75,191,0.592105031013,0.1
76,184,0.597983658314,0.1
77,189,0.594932258129,0.1
78,184,0.604214370251,0.1
79,178,0.604463756084,0.1
80,180,0.590145051479,0.1
81,173,0.595077037811,0.1
82,174,0.601756513119,0.1
83,171,0.6106954813,0.1
84,170,0.608126759529,0.1
85,166,0.608103752136,0.1
86,161,0.609051525593,0.1
87,171,0.606260120869,0.1
88,177,0.607511043549,0.1
89,177,0.620497584343,0.1
90,153,0.615267693996,0.1
91,170,0.611258625984,0.1
92,178,0.602749586105,0.1
93,175,0.602163672447,0.1
94,168,0.61249935627,0.1
95,161,0.616383552551,0.1
96,164,0.616376817226,0.1
97,165,0.614306628704,0.1
98,160,0.604923903942,0.1
99,169,0.599945545197,0.1
100,156,0.612117350101,0.1
101,158,0.613227903843,0.1
102,153,0.615961670876,0.1
103,146,0.61524951458,0.1
104,164,0.614059090614,0.1
105,155,0.610209584236,0.1
106,155,0.596204102039,0.1
107,155,0.58897036314,0.1
108,154,0.58042371273,0.1
109,160,0.590879738331,0.1
110,163,0.599224627018,0.1
111,152,0.599218010902,0.1
112,159,0.607299506664,0.1
113,162,0.607679545879,0.1
114,160,0.608542263508,0.1
115,169,0.606366217136,0.1
116,163,0.600909650326,0.1
117,162,0.602041304111,0.1
118,155,0.616069972515,0.1
119,144,0.614279091358,0.1
120,155,0.611401855946,0.1
121,167,0.615402936935,0.1
122,162,0.609358370304,0.1
123,159,0.604482769966,0.1
124,157,0.608446359634,0.1
125,153,0.611347436905,0.1
126,151,0.6216968894,0.1
127,146,0.620739042759,0.1
128,156,0.616197288036,0.1
129,154,0.629731237888,0.1
130,157,0.61908775568,0.1
131,153,0.616914153099,0.1
132,165,0.615454614162,0.1
133,154,0.61403632164,0.1
134,164,0.613398134708,0.1
135,151,0.609241306782,0.1
136,150,0.609080195427,0.1
137,145,0.606236517429,0.1
138,147,0.611391961575,0.1
139,155,0.601698696613,0.1
140,154,0.600639879704,0.1
141,156,0.604153215885,0.1
142,156,0.607369661331,0.1
143,150,0.609358549118,0.1
144,152,0.608417212963,0.1
145,160,0.592878937721,0.1
